sl_no,satellite_name,launch_date,launch_vehicle,orbit,application,remarks,Year,Month,Rocket Family,Mission
130,NISAR(NASA-ISRO),2025-07-30,GSLV-F16/NISAR Mission,SSO (Sun Synchronous Orbit),Earth Observation(Radar),Launch successful,2025,Jul,GSLV-F16/NISAR,NISAR
129,EOS-09,2025-05-18,PSLV-C61/EOS-09 Mission,SSO (Sun Synchronous Orbit),Earth Observation,Launch successful,2025,May,PSLV-C61/EOS-09,EOS-09
128,NVS-02(NavIC Series),2025-01-29,GSLV-F15/NVS-02 Mission,GTO (Geosynchronous Transfer Orbit),Navigation,Launch successful,2025,Jan,GSLV-F15/NVS-02,NVS-02
127,"SPADEX, POEM-4",2025-12-30,"PSLV-C60,SPADEX,POEM-4 Mission",LEO (Low Earth Orbit),In-orbit Docking Experiment,Launch successful,2025,Dec,"PSLV-C60,SPADEX,POEM-4","PSLV-C60,SPADEX,POEM-4"
126,Proba-3 (ESA),2024-12-05,PSLV-C59/Proba-3 Mission,HEO(High Elliptical Orbit),Formation Flying(Technology Demonstration),Launch successful,2024,Dec,PSLV-C59/Proba-3,Proba-3
125,Aditya-L1,2023-09-02,PSLV-C57/Aditya-L1 Mission,Lunar,Planetary Observation,Launch successful,2023,Sep,PSLV-C57/Aditya-L1,Aditya-L1
124,Chandrayaan-3,2023-07-14,LVM3 M4 / Chandrayaan-3 Mission,Lunar,Planetary Observation,Launch successful,2023,Jul,LVM3, Chandrayaan-3
123,NVS-01,2023-05-29,GSLV-F12/NVS-01 Mission,Unknown,Navigation,Launch successful,2023,May,GSLV-F12/NVS-01,NVS-01
122,EOS-07,2023-02-10,SSLV-D2/EOS-07 Mission,Unknown,Earth Observation,Launch successful,2023,Feb,SSLV-D2/EOS-07,EOS-07
121,Thybolt,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,Launch successful,2022,Nov,PSLV-C54/EOS-06,EOS-06
120,Thybolt,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,Launch successful,2022,Nov,PSLV-C54/EOS-06,EOS-06
119,Anand,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,Launch successful,2022,Nov,PSLV-C54/EOS-06,EOS-06
118,INS-2B,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,Launch successful,2022,Nov,PSLV-C54/EOS-06,EOS-06
117,EOS-06,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,Launch successful,2022,Nov,PSLV-C54/EOS-06,EOS-06
116,EOS-02,2022-08-07,SSLV-D1/EOS-02 Mission,Unknown,Earth Observation,Launch successful,2022,Aug,SSLV-D1/EOS-02,EOS-02
115,GSAT-24,2022-06-23,Ariane-V(VS257),GSO (Geosynchronous Orbit),Communication,Launch successful,2022,Jun,Ariane-V(VS257),Ariane-V(VS257)
114,INS-2TD,2022-02-14,PSLV-C52/EOS-04 Mission,Unknown,Experimental,Launch successful,2022,Feb,PSLV-C52/EOS-04,EOS-04
113,EOS-04,2022-02-14,PSLV-C52/EOS-04 Mission,Unknown,Earth Observation,Launch successful,2022,Feb,PSLV-C52/EOS-04,EOS-04
112,EOS-03,2021-08-12,GSLV-F10 / EOS-03 Mission,GTO (Geosynchronous Transfer Orbit),Earth Observation,Launch unsuccessful,2021,Aug,GSLV-F10, EOS-03
111,CMS-01,2020-12-17,PSLV-C50/CMS-01,GSO (Geosynchronous Orbit),Communication,Launch successful,2020,Dec,PSLV-C50/CMS-01,CMS-01
110,EOS-01,2020-11-07,PSLV-C49/EOS-01,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",Launch successful,2020,Nov,PSLV-C49/EOS-01,EOS-01
109,GSAT-30,2020-01-17,Ariane-5 VA-251,GSO (Geosynchronous Orbit),Communication,Launch successful,2020,Jan,Ariane-5,Ariane-5 VA-251
108,RISAT-2BR1,2019-12-11,PSLV-C48/RISAT-2BR1,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",Launch successful,2019,Dec,PSLV-C48/RISAT-2BR1,RISAT-2BR1
107,Cartosat-3,2019-11-27,PSLV-C47 / Cartosat-3 Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2019,Nov,PSLV-C47, Cartosat-3
106,Chandrayaan2,2019-07-22,GSLV-Mk III - M1 / Chandrayaan-2 Mission,Lunar,Planetary Observation,Launch successful,2019,Jul,GSLV-Mk, Chandrayaan-2
105,RISAT-2B,2019-05-22,PSLV-C46 Mission,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",Launch successful,2019,May,PSLV-C46,PSLV-C46
104,EMISAT,2019-04-01,PSLV-C45/EMISAT MISSION,SSPO (Sun Synchronous Polar Orbit),Unknown,Launch successful,2019,Apr,PSLV-C45/EMISAT,EMISAT MISSION
103,GSAT-31,2019-02-06,Ariane-5 VA-247,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful,2019,Feb,Ariane-5,Ariane-5 VA-247
102,Microsat-R,2019-01-24,PSLV-C44,SSPO (Sun Synchronous Polar Orbit),Unknown,Launch successful,2019,Jan,PSLV-C44,PSLV-C44
101,GSAT-7A,2018-12-19,GSLV-F11 / GSAT-7A Mission,Unknown,Communication,Launch successful,2018,Dec,GSLV-F11, GSAT-7A
100,GSAT-11 Mission,2018-12-05,Ariane-5 VA-246,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful,2018,Dec,Ariane-5,Ariane-5 VA-246
99,HysIS,2018-11-29,PSLV-C43 / HysIS Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2018,Nov,PSLV-C43, HysIS
98,GSAT-29,2018-11-14,GSLV Mk III-D2 / GSAT-29 Mission,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful,2018,Nov,GSLV, GSAT-29
97,IRNSS-1I,2018-04-12,PSLV-C41/IRNSS-1I,GSO (Geosynchronous Orbit),Navigation,Launch successful,2018,Apr,PSLV-C41/IRNSS-1I,IRNSS-1I
96,GSAT-6A,2018-03-29,GSLV-F08/GSAT-6A Mission,GSO (Geosynchronous Orbit),Communication,Launch successful,2018,Mar,GSLV-F08/GSAT-6A,GSAT-6A
95,INS-1C,2018-01-12,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful,2018,Jan,PSLV-C40/Cartosat-2,Cartosat-2 Series Satellite
94,Microsat,2018-01-12,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful,2018,Jan,PSLV-C40/Cartosat-2,Cartosat-2 Series Satellite
93,Cartosat-2 Series Satellite,2018-01-12,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2018,Jan,PSLV-C40/Cartosat-2,Cartosat-2 Series Satellite
92,IRNSS-1H,2017-08-31,PSLV-C39/IRNSS-1H Mission,Unknown,Navigation,Launch unsuccessful,2017,Aug,PSLV-C39/IRNSS-1H,IRNSS-1H
91,GSAT-1 7,2017-06-29,Ariane-5 VA-238,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful,2017,Jun,Ariane-5,Ariane-5 VA-238
90,Cartosat-2 Series Satellite,2017-06-23,PSLV-C38 / Cartosat-2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2017,Jun,PSLV-C38, Cartosat-2 Series Satellite
89,GSAT-19,2017-06-05,GSLV Mk III-D1/GSAT-19 Mission,GSO (Geosynchronous Orbit),Communication,Launch successful,2017,Jun,GSLV,GSAT-19
88,GSAT-9,2017-05-05,GSLV-F09 / GSAT-9,GSO (Geosynchronous Orbit),Communication,Launch successful,2017,May,GSLV-F09, GSAT-9
87,Cartosat -2 Series Satellite,2017-02-15,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2017,Feb,PSLV-C37, Cartosat -2 Series Satellite
86,INS-1A,2017-02-15,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful,2017,Feb,PSLV-C37, Cartosat -2 Series Satellite
85,INS-1B,2017-02-15,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful,2017,Feb,PSLV-C37, Cartosat -2 Series Satellite
84,RESOURCESAT-2A,2016-12-07,PSLV-C36 / RESOURCESAT-2A,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2016,Dec,PSLV-C36, RESOURCESAT-2A
83,GSAT-18,2016-10-06,Ariane-5 VA-231,GSO (Geosynchronous Orbit),Communication,Launch successful,2016,Oct,Ariane-5,Ariane-5 VA-231
82,SCATSAT-1,2016-09-26,PSLV-C35 / SCATSAT-1,SSPO (Sun Synchronous Polar Orbit),Climate & Environment,Launch successful,2016,Sep,PSLV-C35, SCATSAT-1
81,INSAT-3DR,2016-09-08,GSLV-F05 / INSAT-3DR,GSO (Geosynchronous Orbit),"Climate & Environment, Disaster Management System",Launch successful,2016,Sep,GSLV-F05, INSAT-3DR
80,CARTOSAT-2 Series Satellite,2016-06-22,PSLV-C34 / CARTOSAT-2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2016,Jun,PSLV-C34, CARTOSAT-2 Series Satellite
79,IRNSS-1G,2016-04-28,PSLV-C33/IRNSS-1G,GEO,Navigation,Launch successful,2016,Apr,PSLV-C33/IRNSS-1G,IRNSS-1G
78,IRNSS-1F,2016-03-10,PSLV-C32/IRNSS-1F,GEO,Navigation,Launch successful,2016,Mar,PSLV-C32/IRNSS-1F,IRNSS-1F
77,IRNSS-1E,2016-01-20,PSLV-C31/IRNSS-1E,GSO (Geosynchronous Orbit),Navigation,Launch successful,2016,Jan,PSLV-C31/IRNSS-1E,IRNSS-1E
76,GSAT-15,2015-11-11,Ariane-5 VA-227,GEO,"Communication, Navigation",Launch successful,2015,Nov,Ariane-5,Ariane-5 VA-227
75,Astrosat,2015-09-28,PSLV-C30/AstroSat MISSION,Unknown,Space Science,Launch successful,2015,Sep,PSLV-C30/AstroSat,AstroSat MISSION
74,GSAT-6,2015-08-27,GSLV-D6,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful,2015,Aug,GSLV-D6,GSLV-D6
73,IRNSS-1D,2015-03-28,PSLV-C27/IRNSS-1D,GSO (Geosynchronous Orbit),Navigation,Launch successful,2015,Mar,PSLV-C27/IRNSS-1D,IRNSS-1D
72,Crew module Atmospheric Re-entry Experiment (CARE),2014-12-18,LVM-3/CARE Mission,Unknown,Experimental,Launch successful,2014,Dec,LVM-3/CARE,CARE
71,GSAT-16,2014-12-07,Ariane-5 VA-221,GSO (Geosynchronous Orbit),Communication,Launch successful,2014,Dec,Ariane-5,Ariane-5 VA-221
70,IRNSS-1C,2014-10-16,PSLV-C26/IRNSS-1C,GEO,Navigation,Launch successful,2014,Oct,PSLV-C26/IRNSS-1C,IRNSS-1C
69,IRNSS-1B,2014-04-04,PSLV-C24/IRNSS-1B,GSO (Geosynchronous Orbit),Navigation,Launch successful,2014,Apr,PSLV-C24/IRNSS-1B,IRNSS-1B
68,GSAT-14,2014-01-05,GSLV-D5/GSAT-14,GSO (Geosynchronous Orbit),Communication,Launch successful,2014,Jan,GSLV-D5/GSAT-14,GSAT-14
67,Mars Orbiter Mission Spacecraft,2013-11-05,PSLV-C25,Martian,Planetary Observation,Launch successful,2013,Nov,PSLV-C25,PSLV-C25
66,GSAT-7,2013-08-30,Ariane-5 VA-215,GSO (Geosynchronous Orbit),Communication,Launch successful,2013,Aug,Ariane-5,Ariane-5 VA-215
65,INSAT-3D,2013-07-26,Ariane-5 VA-214,GSO (Geosynchronous Orbit),"Climate & Environment, Disaster Management System",Launch successful,2013,Jul,Ariane-5,Ariane-5 VA-214
64,IRNSS-1A,2013-07-01,PSLV-C22/IRNSS-1A,GSO (Geosynchronous Orbit),Navigation,Launch successful,2013,Jul,PSLV-C22/IRNSS-1A,IRNSS-1A
63,SARAL,2013-02-25,PSLV-C20/SARAL,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",Launch successful,2013,Feb,PSLV-C20/SARAL,SARAL
62,GSAT-10,2012-09-29,Ariane-5 VA-209,GEO,"Communication, Navigation",Launch successful,2012,Sep,Ariane-5,Ariane-5 VA-209
61,RISAT-1,2012-04-26,PSLV-C19/RISAT-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2012,Apr,PSLV-C19/RISAT-1,RISAT-1
60,Megha-Tropiques,2011-10-12,PSLV-C18/Megha-Tropiques,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",Launch successful,2011,Oct,PSLV-C18/Megha-Tropiques,Megha-Tropiques
59,GSAT-12,2011-07-15,PSLV-C17/GSAT-12,GSO (Geosynchronous Orbit),Communication,Launch successful,2011,Jul,PSLV-C17/GSAT-12,GSAT-12
58,GSAT-8,2011-05-21,Ariane-5 VA-202,GEO,"Communication, Navigation",Launch successful,2011,May,Ariane-5,Ariane-5 VA-202
57,RESOURCESAT-2,2011-04-20,PSLV-C16/RESOURCESAT-2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2011,Apr,PSLV-C16/RESOURCESAT-2,RESOURCESAT-2
56,YOUTHSAT,2011-04-20,PSLV-C16/RESOURCESAT-2,SSPO (Sun Synchronous Polar Orbit),Student Satellite,Launch successful,2011,Apr,PSLV-C16/RESOURCESAT-2,RESOURCESAT-2
55,GSAT-5P,2010-12-25,GSLV-F06 / GSAT-5P,GSO (Geosynchronous Orbit),Communication,Launch unsuccessful,2010,Dec,GSLV-F06, GSAT-5P
54,CARTOSAT-2B,2010-07-12,PSLV-C15/CARTOSAT-2B,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2010,Jul,PSLV-C15/CARTOSAT-2B,CARTOSAT-2B
53,GSAT-4,2010-04-15,GSLV-D3 / GSAT-4,GSO (Geosynchronous Orbit),Communication,Launch unsuccessful,2010,Apr,GSLV-D3, GSAT-4
52,Oceansat-2,2009-09-23,PSLV-C14 / OCEANSAT-2,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",Launch successful,2009,Sep,PSLV-C14, OCEANSAT-2
51,RISAT-2,2009-04-20,PSLV-C12 / RISAT-2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2009,Apr,PSLV-C12, RISAT-2
50,Chandrayaan-1,2008-10-22,PSLV-C11,Lunar,Planetary Observation,Launch successful,2008,Oct,PSLV-C11,PSLV-C11
49,IMS-1,2008-04-28,PSLV-C9 / CARTOSAT  2A,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2008,Apr,PSLV-C9, CARTOSAT  2A
48,CARTOSAT  2A,2008-04-28,PSLV-C9 / CARTOSAT  2A,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2008,Apr,PSLV-C9, CARTOSAT  2A
47,INSAT-4CR,2007-09-02,GSLV-F04 / INSAT-4CR,GSO (Geosynchronous Orbit),Communication,Launch successful,2007,Sep,GSLV-F04, INSAT-4CR
46,INSAT-4B,2007-03-12,Ariane5,GSO (Geosynchronous Orbit),Communication,Decommisioned,2007,Mar,Ariane5,Ariane5
45,CARTOSAT-2,2007-01-10,PSLV-C7 / CARTOSAT-2 / SRE-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2007,Jan,PSLV-C7, SRE-1
44,SRE-1,2007-01-10,PSLV-C7 / CARTOSAT-2 / SRE-1,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful,2007,Jan,PSLV-C7, SRE-1
43,INSAT-4C,2006-07-10,GSLV-F02 / INSAT-4C,GSO (Geosynchronous Orbit),Communication,Launch unsuccessful,2006,Jul,GSLV-F02, INSAT-4C
42,INSAT-4A,2005-12-22,Ariane5-V169,GSO (Geosynchronous Orbit),Communication,Launch successful,2005,Dec,Ariane5-V169,Ariane5-V169
41,CARTOSAT-1,2005-05-05,PSLV-C6/CARTOSAT-1/HAMSAT,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2005,May,PSLV-C6/CARTOSAT-1/HAMSAT,HAMSAT
40,HAMSAT,2005-05-05,PSLV-C6/CARTOSAT-1/HAMSAT,SSPO (Sun Synchronous Polar Orbit),Communication,Launch successful,2005,May,PSLV-C6/CARTOSAT-1/HAMSAT,HAMSAT
39,EDUSAT,2004-09-20,GSLV-F01 / EDUSAT (GSAT-3),GSO (Geosynchronous Orbit),Communication,Launch successful,2004,Sep,GSLV-F01, EDUSAT (GSAT-3)
38,IRS-P6 / RESOURCESAT-1,2003-10-17,PSLV-C5 /RESOURCESAT-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2003,Oct,PSLV-C5,RESOURCESAT-1
37,INSAT-3E,2003-09-28,Ariane5-V162,GSO (Geosynchronous Orbit),Communication,Launch successful,2003,Sep,Ariane5-V162,Ariane5-V162
36,GSAT-2,2003-05-08,GSLV-D2 / GSAT-2,GSO (Geosynchronous Orbit),Communication,Launch successful,2003,May,GSLV-D2, GSAT-2
35,INSAT-3A,2003-04-10,Ariane5-V160,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",Launch successful,2003,Apr,Ariane5-V160,Ariane5-V160
34,KALPANA-1,2002-09-12,PSLV-C4 /KALPANA-1,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",Launch successful,2002,Sep,PSLV-C4,KALPANA-1
33,INSAT-3C,2002-01-24,Ariane5-V147,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",Launch successful,2002,Jan,Ariane5-V147,Ariane5-V147
32,The Technology Experiment Satellite (TES),2001-10-22,PSLV-C3 / TES,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,2001,Oct,PSLV-C3, TES
31,GSAT-1,2001-04-18,GSLV-D1 / GSAT-1,GSO (Geosynchronous Orbit),Communication,Launch successful,2001,Apr,GSLV-D1, GSAT-1
30,INSAT-3B,2000-03-22,Ariane-5G,GSO (Geosynchronous Orbit),Communication,Launch successful,2000,Mar,Ariane-5G,Ariane-5G
29,Oceansat(IRS-P4),1999-05-26,PSLV-C2/IRS-P4,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,1999,May,PSLV-C2/IRS-P4,IRS-P4
28,INSAT-2E,1999-04-03,Ariane-42P H10-3,GSO (Geosynchronous Orbit),Communication,Launch successful,1999,Apr,Ariane-42P,Ariane-42P H10-3
27,IRS-1D,1997-09-29,PSLV-C1 / IRS-1D,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,1997,Sep,PSLV-C1, IRS-1D
26,INSAT-2D,1997-06-04,Ariane-44L H10-3,GSO (Geosynchronous Orbit),Communication,Failed in Orbit,1997,Jun,Ariane-44L,Ariane-44L H10-3
25,IRS-P3,1996-03-21,PSLV-D3 / IRS-P3,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,1996,Mar,PSLV-D3, IRS-P3
24,IRS-1C,1995-12-28,Molniya,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,1995,Dec,Molniya,Molniya
23,INSAT-2C,1995-12-07,Ariane-44L H10-3,GSO (Geosynchronous Orbit),Communication,Launch successful,1995,Dec,Ariane-44L,Ariane-44L H10-3
22,IRS-P2,1994-10-15,PSLV-D2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,1994,Oct,PSLV-D2,PSLV-D2
21,SROSS-C2,1994-05-04,ASLV-D4,Unknown,Experimental,Launch successful,1994,May,ASLV-D4,ASLV-D4
20,IRS-1E,1993-09-20,PSLV-D1,LEO (Low Earth Orbit),Earth Observation,Launch unsuccessful,1993,Sep,PSLV-D1,PSLV-D1
19,INSAT-2B,1993-07-23,Ariane-44L H10+,GSO (Geosynchronous Orbit),Communication,Launch successful,1993,Jul,Ariane-44L,Ariane-44L H10+
18,INSAT-2A,1992-07-10,Ariane-44L H10,GSO (Geosynchronous Orbit),Communication,Launch successful,1992,Jul,Ariane-44L,Ariane-44L H10
17,SROSS-C,1992-05-20,ASLV-D3,Unknown,Experimental,Launch successful,1992,May,ASLV-D3,ASLV-D3
16,IRS-1B,1991-08-29,Vostok,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,1991,Aug,Vostok,Vostok
15,INSAT-1D,1990-06-12,Delta 4925,GSO (Geosynchronous Orbit),Communication,Launch successful,1990,Jun,Delta,Delta 4925
14,INSAT-1C,1988-07-22,Ariane-3,GSO (Geosynchronous Orbit),Communication,Partial Failure in Orbit,1988,Jul,Ariane-3,Ariane-3
13,SROSS-2,1988-07-13,ASLV-D2,Unknown,"Earth Observation, Experimental",Launch unsuccessful,1988,Jul,ASLV-D2,ASLV-D2
12,IRS-1A,1988-03-17,Vostok,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,1988,Mar,Vostok,Vostok
11,SROSS-1,1987-03-24,ASLV-D1,Unknown,Experimental,Launch unsuccessful,1987,Mar,ASLV-D1,ASLV-D1
10,INSAT-1B,1983-08-30,Shuttle [PAM-D],GSO (Geosynchronous Orbit),Communication,Launch successful,1983,Aug,Shuttle,Shuttle [PAM-D]
9,Rohini Satellite RS-D2,1983-04-17,SLV-3,LEO (Low Earth Orbit),Earth Observation,Launch successful,1983,Apr,SLV-3,SLV-3
8,INSAT-1A,1982-04-10,Delta,GSO (Geosynchronous Orbit),Communication,Failed in Orbit,1982,Apr,Delta,Delta
7,Bhaskara-II,1981-11-20,C-1 Intercosmos,LEO (Low Earth Orbit),"Earth Observation, Experimental",Launch successful,1981,Nov,C-1,C-1 Intercosmos
6,APPLE,1981-06-19,Ariane -1(V-3),GSO (Geosynchronous Orbit),"Communication, Experimental",Launch successful,1981,Jun,Ariane,Ariane -1(V-3)
5,Rohini Satellite RS-D1,1981-05-31,SLV-3D1,LEO (Low Earth Orbit),Earth Observation,Launch successful,1981,May,SLV-3D1,SLV-3D1
4,Rohini Satellite RS-1,1980-07-18,SLV-3E2,Unknown,Unknown,Launch successful,1980,Jul,SLV-3E2,SLV-3E2
3,Rohini Technology Payload (RTP),1979-08-10,SLV-3E1,Unknown,Unknown,Launch unsuccessful,1979,Aug,SLV-3E1,SLV-3E1
2,Bhaskara-I,1979-06-07,C-1Intercosmos,LEO (Low Earth Orbit),"Earth Observation, Experimental",Launch successful,1979,Jun,C-1Intercosmos,C-1Intercosmos
1,Aryabhata,1975-04-19,C-1 Intercosmos,Unknown,Experimental,Launch successful,1975,Apr,C-1,C-1 Intercosmos
